iter	Accuracy	Logloss
300	0.9460979611	0.4051742263
301	0.9458636044	0.4046066554
302	0.9451605343	0.4035819024
303	0.9479728146	0.402620087
304	0.9489102414	0.4015784639
305	0.9503163815	0.400860925
306	0.9505507382	0.4001231189
307	0.9507850949	0.399133119
308	0.951488165	0.3984584395
309	0.951488165	0.3977385596
310	0.9526599484	0.3970451449
311	0.9519568784	0.3965231298
312	0.9524255918	0.3957496122
313	0.9526599484	0.3948675925
314	0.9524255918	0.3939900537
315	0.9531286618	0.3934037838
316	0.9535973752	0.3926774516
317	0.954534802	0.391724608
318	0.9540660886	0.3911408562
319	0.9550035154	0.3904071433
320	0.9561752988	0.389757859
321	0.9559409421	0.3890354566
322	0.9559409421	0.3883491767
323	0.955237872	0.3874181108
324	0.9571127256	0.3866009308
325	0.9578157956	0.3856427798
326	0.9592219358	0.3847616936
327	0.958284509	0.3841654626
328	0.957581439	0.3833730125
329	0.9578157956	0.3826491236
330	0.9585188657	0.381816498
331	0.9603937192	0.3809528439
332	0.9603937192	0.3801104648
333	0.9608624326	0.3794064487
334	0.9620342161	0.3788410063
335	0.9625029295	0.3779568305
336	0.9622685728	0.3771484736
337	0.9625029295	0.376213433
338	0.9627372861	0.3755730424
339	0.9632059995	0.3749819444
340	0.9629716428	0.3745645113
341	0.9636747129	0.3738737816
342	0.9639090696	0.3733361719
343	0.9646121397	0.3725164935
344	0.9641434263	0.3717195925
345	0.9641434263	0.3711446143
346	0.9641434263	0.3705293647
347	0.9641434263	0.3699647758
348	0.9634403562	0.3692471235
349	0.9636747129	0.3683786414
350	0.9646121397	0.3675894672
351	0.9648464964	0.3669395314
352	0.9648464964	0.3662424726
353	0.9653152097	0.3655314122
354	0.9655495664	0.3647623577
355	0.9657839231	0.3640627283
356	0.9657839231	0.3632070716
357	0.9660182798	0.3626133543
358	0.9657839231	0.3621557944
359	0.9667213499	0.3614430496
360	0.9669557066	0.3607476473
361	0.96742442	0.3600373834
362	0.96742442	0.3592490546
363	0.9683618467	0.3586617836
364	0.96812749	0.3581164845
365	0.96742442	0.3573229758
366	0.9678931333	0.3565364953
367	0.9688305601	0.3558556111
368	0.9688305601	0.3552427482
369	0.9690649168	0.3546093707
370	0.9688305601	0.3538410018
371	0.9692992735	0.353306371
372	0.9688305601	0.3526741149
373	0.9690649168	0.3521875044
374	0.9695336302	0.3515019229
375	0.9692992735	0.3508460079
376	0.9695336302	0.350292706
377	0.9690649168	0.3497812538
378	0.9692992735	0.3492361397
379	0.9697679869	0.348575013
380	0.9702367003	0.3480152026
381	0.9702367003	0.3474572817
382	0.9704710569	0.346818392
383	0.9704710569	0.3462184145
384	0.9709397703	0.3455578972
385	0.971174127	0.3450998677
386	0.971174127	0.3443487482
387	0.9716428404	0.3438286681
388	0.9723459105	0.3431364629
389	0.9718771971	0.3426059955
390	0.9721115538	0.3419616495
391	0.9725802672	0.3410619932
392	0.9721115538	0.3405541517
393	0.9721115538	0.3399975243
394	0.9723459105	0.3392539575
395	0.9718771971	0.3387412652
396	0.9725802672	0.3380908911
397	0.9725802672	0.3374729704
398	0.9725802672	0.3368653133
399	0.9725802672	0.3360515516
400	0.9730489805	0.3354875281
401	0.9735176939	0.3348007305
402	0.9730489805	0.3342396236
403	0.9730489805	0.3338113342
404	0.9735176939	0.333224812
405	0.9737520506	0.3326704946
406	0.9735176939	0.3318747335
407	0.9744551207	0.3311381213
408	0.9744551207	0.3304629993
409	0.9749238341	0.3298156103
410	0.9749238341	0.3291169486
411	0.9749238341	0.3284795285
412	0.9744551207	0.327797324
413	0.9751581908	0.3274153916
414	0.9753925475	0.3267618539
415	0.9756269041	0.326043303
416	0.9753925475	0.3253261302
417	0.9751581908	0.3246959839
418	0.9756269041	0.3241547843
419	0.9760956175	0.3234547792
420	0.9756269041	0.3228936409
421	0.9753925475	0.3224497174
422	0.9758612608	0.3219149248
423	0.9756269041	0.3213802774
424	0.9760956175	0.3207287879
425	0.9765643309	0.3201888103
426	0.9763299742	0.3195679285
427	0.9765643309	0.3188108645
428	0.977267401	0.3181780631
429	0.9763299742	0.3176735487
430	0.9763299742	0.31719071
431	0.9767986876	0.316451831
432	0.9770330443	0.3159171891
433	0.977267401	0.3153712651
434	0.9777361144	0.3147827228
435	0.9779704711	0.3142794915
436	0.9782048277	0.313811692
437	0.9789078978	0.3129152015
438	0.9793766112	0.3122465478
439	0.9796109679	0.3116218844
440	0.9796109679	0.3109145631
441	0.9796109679	0.3102704038
442	0.9800796813	0.3096800292
443	0.9798453246	0.3089763229
444	0.980314038	0.3083086975
445	0.9805483947	0.3077001274
446	0.9800796813	0.3070856646
447	0.9798453246	0.3065428398
448	0.9798453246	0.3061308326
449	0.980314038	0.3056033713
450	0.980314038	0.3051253372
451	0.980314038	0.3046514885
452	0.9798453246	0.3042116209
453	0.9800796813	0.3036415764
454	0.9805483947	0.3031014682
455	0.9805483947	0.302309658
456	0.9805483947	0.3020123135
457	0.9805483947	0.3012773409
458	0.981017108	0.3007155562
459	0.9817201781	0.3002256999
460	0.9817201781	0.2997397645
461	0.9817201781	0.2992665749
462	0.9817201781	0.2986256
463	0.9817201781	0.2981107144
464	0.9817201781	0.2974999571
465	0.9817201781	0.2969989479
466	0.9819545348	0.2963947151
467	0.9819545348	0.2957308355
468	0.9819545348	0.2952455255
469	0.9819545348	0.2947219491
